1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
169.4000,169.5100,167.4380,168.5200,168.5200,2673017,0.0000,1.0
171.4200,173.5600,168.4000,169.2500,169.2500,4088125,0.0000,1.0
165.4100,171.4400,165.2500,168.2200,168.2200,5006468,0.0000,1.0
162.3700,165.4700,161.3000,164.6500,164.6500,2908208,0.0000,1.0
159.8900,162.7100,158.1400,160.2300,160.2300,2978889,0.0000,1.0
159.8700,160.7000,155.7700,158.1000,158.1000,3949225,0.0000,1.0
162.2600,164.0500,160.6400,160.7500,160.7500,3697758,0.0000,1.0
161.2900,164.4700,159.4200,161.4200,161.4200,4947684,0.0000,1.0
169.0500,169.4500,165.0130,165.1400,165.1400,4425735,0.0000,1.0
169.9700,171.2300,165.8550,168.1300,168.1300,4380849,0.0000,1.0
171.4600,172.1700,169.2200,172.1400,172.1400,2963323,0.0000,1.0
174.9400,175.2500,170.7100,171.2500,171.2500,3267591,0.0000,1.0
177.0400,179.6100,174.3200,174.5000,174.5000,3431813,0.0000,1.0
175.5000,179.2700,174.5100,177.0900,177.0900,3604505,0.6000,1.0
178.2300,179.9100,174.8200,175.1300,174.5386,4073635,0.0000,1.0
176.7900,180.6700,176.7300,177.7000,177.1000,3879396,0.0000,1.0
171.5600,176.4000,171.0100,176.1500,175.5552,3632100,0.0000,1.0
175.1200,175.9000,171.2100,173.6100,173.0238,3476180,0.0000,1.0
172.8600,175.9400,172.6318,175.3300,174.7380,2987766,0.0000,1.0
174.8400,174.8400,172.3700,172.7300,172.1467,3377890,0.0000,1.0
171.3700,175.0000,171.3700,173.2300,172.6451,4594018,0.0000,1.0
169.4900,171.6100,168.2441,170.8700,170.2930,3105667,0.0000,1.0
167.7200,169.8100,166.6350,168.4700,167.9011,2587682,0.0000,1.0
168.4800,168.9800,164.4200,164.9900,164.4329,2765645,0.0000,1.0
168.1100,168.9700,167.0100,168.5400,167.9709,2437416,0.0000,1.0
164.4700,167.4600,164.0500,166.4900,165.9278,2026575,0.0000,1.0
167.3400,168.2800,165.3698,167.1700,166.6055,2677248,0.0000,1.0
162.9800,167.6200,162.4800,165.8600,165.2999,4198617,0.0000,1.0
163.4800,163.9700,162.2100,162.2600,161.7121,2212820,0.0000,1.0
161.5900,163.1000,160.5100,162.5900,162.0410,2815732,0.0000,1.0
157.9000,160.2000,156.6000,159.5500,159.0113,2828842,0.0000,1.0
158.7700,160.8497,156.8100,158.5200,157.9847,3889008,0.0000,1.0
162.4400,162.9100,157.7550,158.6100,158.0744,3245543,0.0000,1.0
160.0300,161.7900,159.6400,161.5500,161.0045,3526263,0.0000,1.0
157.9500,159.6200,155.2000,159.6000,159.0611,3929497,0.0000,1.0
161.3600,163.8500,158.5100,160.1000,159.5594,5485112,0.0000,1.0
163.1100,165.9200,161.9200,163.7800,163.2270,3717813,0.0000,1.0
170.3700,171.7200,166.1100,166.7100,166.1471,3815603,0.0000,1.0
167.4400,169.8800,166.6150,169.0300,168.4592,3998096,0.0000,1.0
163.1700,165.8000,163.0000,165.1900,164.6322,3583326,0.0000,1.0
160.3500,162.5900,159.4400,161.8900,161.3434,4870777,0.0000,1.0
160.0900,162.9300,157.0600,158.3300,157.7954,4129178,0.0000,1.0
155.8900,161.1900,155.1000,159.5300,158.9913,4382558,0.0000,1.0
153.9400,156.8600,151.8900,153.7400,153.2209,4892810,0.0000,1.0
162.9300,163.1700,153.4400,156.3900,155.8619,6303827,0.0000,1.0
169.7000,170.4800,160.3600,161.5200,160.9746,5734405,0.0000,1.0
167.8600,170.8300,166.6000,170.4900,169.9143,4262700,0.0000,1.0
164.4100,167.6400,164.1100,167.5900,167.0241,4285439,0.0000,1.0
165.7700,166.3700,163.6808,164.6900,164.1339,3421317,0.0000,1.0
166.0800,166.8900,164.0900,165.5100,164.9511,3291367,0.0000,1.0
